Date,Open,Return,Cumulative Return
2020-01-01,129.21,0.0,0.0%
2020-02-01,179.88,39.2,39.2%
2020-03-01,217.51,20.9,68.29%
2020-04-01,132.88,-38.9,2.83%
2020-05-01,206.23,55.2,59.59%
2020-06-01,231.8,12.4,79.38%
2020-07-01,225.61,-2.7,74.53%
2020-08-01,346.48,53.6,168.08%
2020-09-01,433.89,25.2,235.64%
2020-10-01,359.5,-17.1,178.25%
2020-11-01,386.36,7.5,199.11%
2020-12-01,616.78,59.6,377.39%
2021-01-01,735.87,19.3,469.52%
2021-02-01,1312.69,78.4,916.02%
2021-03-01,1418.91,8.1,998.32%
2021-04-01,1918.82,35.2,1384.93%
2021-05-01,2772.27,44.5,2045.73%
2021-06-01,2707.94,-2.3,1996.38%
2021-07-01,2274.5,-16.0,1660.96%
2021-08-01,2530.94,11.3,1859.94%
2021-09-01,3429.65,35.5,2555.72%
2021-10-01,2999.86,-12.5,2223.76%
2021-11-01,4287.41,42.9,3220.65%
2021-12-01,4628.72,8.0,3486.3%
2022-01-01,3677.69,-20.5,2751.11%
2022-02-01,2686.82,-26.9,1984.16%
2022-03-01,2922.44,8.8,2167.57%
2022-04-01,3282.33,12.3,2446.48%
2022-05-01,2727.2,-16.9,2016.12%
2022-06-01,1941.81,-28.8,1406.68%
2022-07-01,1069.13,-44.9,730.18%
2022-08-01,1679.98,57.1,1204.21%
2022-09-01,1554.57,-7.5,1106.4%
2022-10-01,1328.73,-14.5,931.47%
2022-11-01,1572.89,18.4,1121.26%
2022-12-01,1294.4,-17.7,905.1%
2023-01-01,1195.69,-7.6,828.71%
2023-02-01,1585.27,32.6,1131.47%
2023-03-01,1604.69,1.2,1146.25%
2023-04-01,1821.62,13.5,1314.49%
2023-05-01,1869.05,2.6,1351.27%
2023-06-01,1873.62,0.2,1354.17%
2023-07-01,1933.8,3.2,1400.7%
2023-08-01,1856.17,-4.0,1340.68%
2023-09-01,1645.82,-11.3,1177.88%
2023-10-01,1670.92,1.5,1197.05%
2023-11-01,1815.12,8.6,1308.59%
2023-12-01,2051.59,13.0,1491.71%
2024-01-01,2281.89,11.2,1669.98%
2024-02-01,2283.14,0.1,1671.75%
2024-03-01,3339.25,46.3,2492.07%
2024-04-01,3647.08,9.2,2730.54%
2024-05-01,3014.38,-17.3,2240.86%
2024-06-01,3762.63,24.8,2821.39%
2024-07-01,3437.84,-8.6,2570.15%
2024-08-01,3231.81,-6.0,2409.94%
2024-09-01,2513.06,-22.2,1852.74%
2024-10-01,2602.3,3.6,1923.03%
2024-11-01,2519.14,-3.2,1858.3%
2024-12-01,3702.96,47.0,2778.7%
2025-01-01,3337.8,-9.9,2493.71%
2025-02-01,3298.69,-1.2,2462.58%
2025-03-01,2233.88,-32.3,1634.87%
2025-04-01,1822.41,-18.4,1315.65%
